window_size,window_seconds,file_name,learning_rate,gamma,lambda,threshold_method,tau,val_loss,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
20,100,tranad_processed_tensors_w20.pt,0.002,0.3,0.7,Optimal_Val_F1,0.28583869338035583,0.2568234674898641,0.22932330827067668,0.8970588235294118,0.3652694610778443,0.8172583247762945,0.18291878442527493,0.5581737849779087,0.831140350877193,0.66784140969163,0.7473151810161242,0.5708499991408553
20,100,tranad_processed_tensors_w20.pt,0.002,0.5,0.5,Optimal_Val_F1,0.2728390693664551,0.2568234674898641,0.22932330827067668,0.8970588235294118,0.3652694610778443,0.8209806366436849,0.19039123143624168,0.5601783060921248,0.8267543859649122,0.6678476527900797,0.7446633201500862,0.5731707129173934
15,75,tranad_processed_tensors_w15.pt,0.0005,0.7,0.3,Optimal_Val_F1,0.243521049618721,0.3109725186867373,0.22932330827067668,0.8970588235294118,0.3652694610778443,0.8174416898929148,0.17759534176869834,0.49310344827586206,0.6271929824561403,0.5521235521235521,0.7562658452489606,0.5706109540694154
20,100,tranad_processed_tensors_w20.pt,0.001,0.7,0.3,Optimal_Val_F1,0.25783511996269226,0.2783497786814613,0.22846441947565543,0.8970588235294118,0.3641791044776119,0.8155530291917266,0.18366039184443506,0.43846153846153846,0.5,0.4672131147540984,0.7534910252509888,0.577835457880677
20,100,tranad_processed_tensors_w20.pt,0.0005,0.5,0.5,Optimal_Val_F1,0.3215521275997162,0.3421033598216517,0.22846441947565543,0.8970588235294118,0.3641791044776119,0.7979133049728621,0.16276690962208412,0.5657894736842105,0.8486842105263158,0.6789473684210526,0.7545152621437988,0.5617213720884683
15,75,tranad_processed_tensors_w15.pt,0.0005,0.3,0.7,Optimal_Val_F1,0.27634575963020325,0.3109725186867373,0.22846441947565543,0.8970588235294118,0.3641791044776119,0.8104371424380227,0.1678341384820305,0.5641399416909622,0.8486842105263158,0.6777583187390543,0.7821417706114998,0.5912601575186472
15,75,tranad_processed_tensors_w15.pt,0.001,0.3,0.7,Optimal_Val_F1,0.23717360198497772,0.26603718168501345,0.22846441947565543,0.8970588235294118,0.3641791044776119,0.7927057356608479,0.17341723118175237,0.43486590038314177,0.49780701754385964,0.46421267893660534,0.7454974140553696,0.5783562081716574
15,75,tranad_processed_tensors_w15.pt,0.0005,0.5,0.5,Optimal_Val_F1,0.25993338227272034,0.3109725186867373,0.22846441947565543,0.8970588235294118,0.3641791044776119,0.8150029338418661,0.17301496575464625,0.5657894736842105,0.8486842105263158,0.6789473684210526,0.7587693945847276,0.5718546099429285
20,100,tranad_processed_tensors_w20.pt,0.0005,0.7,0.3,Optimal_Val_F1,0.31053146719932556,0.3421033598216517,0.22846441947565543,0.8970588235294118,0.3641791044776119,0.8007004547454893,0.1654981334987389,0.5625,0.8289473684210527,0.6702127659574468,0.7558056992191462,0.5637212151719229
5,25,tranad_processed_tensors_w5.pt,0.0005,0.3,0.7,Optimal_Val_F1,0.23558223247528076,0.261551144000675,0.22846441947565543,0.8970588235294118,0.3641791044776119,0.7870580900689452,0.17670799147192665,0.5663716814159292,0.8421052631578947,0.6772486772486772,0.7313026062265491,0.543533934397822
10,50,tranad_processed_tensors_w10.pt,0.0005,0.7,0.3,Optimal_Val_F1,0.23561213910579681,0.30223309927220854,0.22761194029850745,0.8970588235294118,0.3630952380952381,0.8022223852134369,0.17780701176216288,0.5657894736842105,0.8486842105263158,0.6789473684210526,0.7394736842105263,0.5469371119726858
10,50,tranad_processed_tensors_w10.pt,0.0005,0.5,0.5,Optimal_Val_F1,0.25228971242904663,0.30223309927220854,0.22761194029850745,0.8970588235294118,0.3630952380952381,0.7998569752090363,0.17375964801767366,0.5657894736842105,0.8486842105263158,0.6789473684210526,0.7404041172294901,0.5497210433458202
10,50,tranad_processed_tensors_w10.pt,0.0005,0.3,0.7,Optimal_Val_F1,0.26896730065345764,0.30223309927220854,0.22761194029850745,0.8970588235294118,0.3630952380952381,0.7970881619480711,0.1697390447278782,0.5626822157434402,0.8464912280701754,0.6760070052539404,0.7421508974749012,0.5524592083057199
10,50,tranad_processed_tensors_w10.pt,0.002,0.7,0.3,Optimal_Val_F1,0.24130110442638397,0.2628310919473214,0.22761194029850745,0.8970588235294118,0.3630952380952381,0.8070815608038727,0.1837046579319864,0.42011834319526625,0.46710526315789475,0.4423676012461059,0.7429368218233445,0.5738121705970443
20,100,tranad_processed_tensors_w20.pt,0.0005,0.3,0.7,Optimal_Val_F1,0.33257272839546204,0.3421033598216517,0.22761194029850745,0.8970588235294118,0.3630952380952381,0.7941176470588236,0.15944748421888902,0.5616835994194485,0.8486842105263158,0.6759825327510917,0.7613274515769192,0.5668681675384718
20,100,tranad_processed_tensors_w20.pt,0.001,0.3,0.7,Optimal_Val_F1,0.3090904653072357,0.2783497786814613,0.22761194029850745,0.8970588235294118,0.3630952380952381,0.8186152266392842,0.1835011005042025,0.5612998522895125,0.8333333333333334,0.6707855251544572,0.7542389210019269,0.5712858769532758
20,100,tranad_processed_tensors_w20.pt,0.001,0.5,0.5,Optimal_Val_F1,0.2834628224372864,0.2783497786814613,0.22761194029850745,0.8970588235294118,0.3630952380952381,0.8174416898929149,0.18382131301404858,0.5642540620384048,0.8377192982456141,0.6743159752868491,0.750869587262955,0.5720492354595719
